Law Pinecone Indexing Report - Generated on 2025-03-25 22:51:04
FULL MODE
Total .json files processed: 780
Successfully upserted: 780
Failed to upsert: 0
All files upserted? YES
Total execution time: 1h 20m 43s

Time taken per file:
  - ATO_ATO ID 2010_208.json: 0.77 sec
  - ATO_ATO ID 2010_210.json: 0.93 sec
  - ATO_ATO ID 2010_217.json: 0.75 sec
  - ATO_ATO ID 2010_228.json: 0.80 sec
  - ATO_ATO ID 2010_34.json: 0.98 sec
  - ATO_ATO ID 2010_54.json: 0.82 sec
  - ATO_ATO ID 2010_55.json: 0.96 sec
  - ATO_ATO ID 2010_72.json: 1.02 sec
  - ATO_ATO ID 2010_9.json: 0.87 sec
  - ATO_ATO ID 2010_90.json: 0.97 sec
  - ATO_ATO ID 2010_98.json: 1.05 sec
  - ATO_ATO ID 2010_99.json: 0.75 sec
  - ATO_ATO ID 2011_101.json: 0.90 sec
  - ATO_ATO ID 2011_107.json: 0.91 sec
  - ATO_ATO ID 2011_26.json: 0.69 sec
  - ATO_ATO ID 2011_37.json: 0.87 sec
  - ATO_ATO ID 2011_38.json: 1.14 sec
  - ATO_ATO ID 2011_39.json: 1.01 sec
  - ATO_ATO ID 2011_40.json: 0.85 sec
  - ATO_ATO ID 2011_41.json: 0.99 sec
  - ATO_ATO ID 2011_45.json: 0.64 sec
  - ATO_ATO ID 2012_13.json: 0.66 sec
  - ATO_ATO ID 2012_14.json: 0.87 sec
  - ATO_ATO ID 2012_35.json: 0.87 sec
  - ATO_ATO ID 2012_39.json: 0.95 sec
  - ATO_ATO ID 2012_46.json: 0.88 sec
  - ATO_ATO ID 2012_56.json: 0.90 sec
  - ATO_ATO ID 2012_63.json: 0.69 sec
  - ATO_ATO ID 2012_99.json: 0.94 sec
  - ATO_ATO ID 2013_19.json: 1.04 sec
  - ATO_ATO ID 2013_33.json: 0.88 sec
  - ATO_ATO ID 2013_64.json: 0.86 sec
  - ATO_ATO ID 2014_1.json: 1.10 sec
  - ATO_ATO ID 2015_8.json: 0.91 sec
  - ATO_CR 2019_1.json: 1.25 sec
  - ATO_CR 2019_10.json: 1.48 sec
  - ATO_CR 2019_11.json: 3.80 sec
  - ATO_CR 2019_12.json: 2.46 sec
  - ATO_CR 2019_13.json: 1.16 sec
  - ATO_CR 2019_14.json: 1.19 sec
  - ATO_CR 2019_15.json: 1.27 sec
  - ATO_CR 2019_17.json: 1.21 sec
  - ATO_CR 2019_2.json: 1.13 sec
  - ATO_CR 2019_20.json: 3.64 sec
  - ATO_CR 2019_21.json: 1.11 sec
  - ATO_CR 2019_22.json: 4.41 sec
  - ATO_CR 2019_23.json: 4.62 sec
  - ATO_CR 2019_24.json: 1.57 sec
  - ATO_CR 2019_25.json: 2.11 sec
  - ATO_CR 2019_26.json: 2.71 sec
  - ATO_CR 2019_3.json: 4.11 sec
  - ATO_CR 2019_30.json: 1.31 sec
  - ATO_CR 2019_31.json: 2.66 sec
  - ATO_CR 2019_36.json: 2.12 sec
  - ATO_CR 2019_37.json: 1.20 sec
  - ATO_CR 2019_38.json: 3.37 sec
  - ATO_CR 2019_39.json: 1.16 sec
  - ATO_CR 2019_42.json: 1.09 sec
  - ATO_CR 2019_43.json: 2.07 sec
  - ATO_CR 2019_45.json: 1.06 sec
  - ATO_CR 2019_5.json: 2.38 sec
  - ATO_CR 2019_51.json: 2.25 sec
  - ATO_CR 2019_55.json: 1.19 sec
  - ATO_CR 2019_56.json: 1.25 sec
  - ATO_CR 2019_57.json: 1.03 sec
  - ATO_CR 2019_59.json: 1.13 sec
  - ATO_CR 2019_6.json: 3.60 sec
  - ATO_CR 2019_64.json: 2.53 sec
  - ATO_CR 2019_68.json: 1.16 sec
  - ATO_CR 2019_7.json: 1.12 sec
  - ATO_CR 2019_70.json: 1.42 sec
  - ATO_CR 2019_71.json: 2.37 sec
  - ATO_CR 2019_73.json: 1.09 sec
  - ATO_CR 2019_74.json: 2.42 sec
  - ATO_CR 2019_75.json: 1.14 sec
  - ATO_CR 2019_76.json: 1.06 sec
  - ATO_CR 2019_77.json: 3.73 sec
  - ATO_CR 2019_82.json: 1.30 sec
  - ATO_CR 2019_83.json: 2.49 sec
  - ATO_CR 2019_84.json: 2.27 sec
  - ATO_CR 2019_9.json: 1.17 sec
  - ATO_CR 2020_1.json: 2.36 sec
  - ATO_CR 2020_10.json: 1.11 sec
  - ATO_CR 2020_11.json: 1.30 sec
  - ATO_CR 2020_15.json: 1.47 sec
  - ATO_CR 2020_16.json: 1.18 sec
  - ATO_CR 2020_17.json: 1.18 sec
  - ATO_CR 2020_18.json: 1.05 sec
  - ATO_CR 2020_19.json: 1.07 sec
  - ATO_CR 2020_2.json: 2.52 sec
  - ATO_CR 2020_20.json: 1.15 sec
  - ATO_CR 2020_21.json: 1.16 sec
  - ATO_CR 2020_22.json: 0.94 sec
  - ATO_CR 2020_24.json: 1.23 sec
  - ATO_CR 2020_26.json: 3.78 sec
  - ATO_CR 2020_28.json: 1.16 sec
  - ATO_CR 2020_29.json: 1.08 sec
  - ATO_CR 2020_3.json: 1.19 sec
  - ATO_CR 2020_31.json: 3.74 sec
  - ATO_CR 2020_34.json: 1.72 sec
  - ATO_CR 2020_35.json: 1.60 sec
  - ATO_CR 2020_36.json: 1.73 sec
  - ATO_CR 2020_37.json: 2.75 sec
  - ATO_CR 2020_38.json: 2.39 sec
  - ATO_CR 2020_39.json: 0.98 sec
  - ATO_CR 2020_4.json: 1.32 sec
  - ATO_CR 2020_40.json: 0.99 sec
  - ATO_CR 2020_41.json: 1.26 sec
  - ATO_CR 2020_42.json: 1.16 sec
  - ATO_CR 2020_43.json: 1.08 sec
  - ATO_CR 2020_44.json: 1.11 sec
  - ATO_CR 2020_45.json: 0.99 sec
  - ATO_CR 2020_48.json: 0.96 sec
  - ATO_CR 2020_49.json: 1.24 sec
  - ATO_CR 2020_50.json: 1.22 sec
  - ATO_CR 2020_51.json: 1.44 sec
  - ATO_CR 2020_52.json: 2.32 sec
  - ATO_CR 2020_57.json: 1.13 sec
  - ATO_CR 2020_6.json: 57.20 sec
  - ATO_CR 2020_62.json: 1.51 sec
  - ATO_CR 2020_64.json: 3.66 sec
  - ATO_CR 2020_66.json: 2.31 sec
  - ATO_CR 2020_72.json: 1.21 sec
  - ATO_CR 2020_74.json: 1.19 sec
  - ATO_CR 2020_8.json: 1.13 sec
  - ATO_CR 2020_9.json: 1.43 sec
  - ATO_CR 2021_1.json: 2.10 sec
  - ATO_CR 2021_100.json: 1.49 sec
  - ATO_CR 2021_101.json: 1.05 sec
  - ATO_CR 2021_11.json: 1.01 sec
  - ATO_CR 2021_13.json: 407.86 sec
  - ATO_CR 2021_18.json: 1.90 sec
  - ATO_CR 2021_19.json: 1.30 sec
  - ATO_CR 2021_2.json: 1.52 sec
  - ATO_CR 2021_20.json: 0.81 sec
  - ATO_CR 2021_21.json: 1.00 sec
  - ATO_CR 2021_22.json: 2.27 sec
  - ATO_CR 2021_25.json: 1.33 sec
  - ATO_CR 2021_27.json: 2.06 sec
  - ATO_CR 2021_28.json: 2.18 sec
  - ATO_CR 2021_29.json: 3.97 sec
  - ATO_CR 2021_31.json: 856.18 sec
  - ATO_CR 2021_32.json: 2.65 sec
  - ATO_CR 2021_33.json: 1.16 sec
  - ATO_CR 2021_34.json: 1.05 sec
  - ATO_CR 2021_38.json: 2.49 sec
  - ATO_CR 2021_39.json: 2.55 sec
  - ATO_CR 2021_4.json: 1.27 sec
  - ATO_CR 2021_40.json: 2.50 sec
  - ATO_CR 2021_41.json: 1.17 sec
  - ATO_CR 2021_42.json: 1.49 sec
  - ATO_CR 2021_46.json: 2.53 sec
  - ATO_CR 2021_47.json: 3.02 sec
  - ATO_CR 2021_48.json: 1.06 sec
  - ATO_CR 2021_49.json: 2.11 sec
  - ATO_CR 2021_5.json: 1.12 sec
  - ATO_CR 2021_50.json: 1.06 sec
  - ATO_CR 2021_51.json: 1.05 sec
  - ATO_CR 2021_52.json: 0.99 sec
  - ATO_CR 2021_53.json: 1.53 sec
  - ATO_CR 2021_54.json: 1.24 sec
  - ATO_CR 2021_55.json: 2.09 sec
  - ATO_CR 2021_57.json: 1.20 sec
  - ATO_CR 2021_6.json: 2.32 sec
  - ATO_CR 2021_60.json: 2.46 sec
  - ATO_CR 2021_61.json: 2.78 sec
  - ATO_CR 2021_63.json: 1.11 sec
  - ATO_CR 2021_64.json: 3.85 sec
  - ATO_CR 2021_65.json: 2.68 sec
  - ATO_CR 2021_67.json: 1.17 sec
  - ATO_CR 2021_68.json: 1.17 sec
  - ATO_CR 2021_69.json: 1.19 sec
  - ATO_CR 2021_7.json: 2.31 sec
  - ATO_CR 2021_70.json: 3.30 sec
  - ATO_CR 2021_71.json: 2.63 sec
  - ATO_CR 2021_72.json: 1.27 sec
  - ATO_CR 2021_75.json: 1.20 sec
  - ATO_CR 2021_76.json: 1.09 sec
  - ATO_CR 2021_77.json: 1.20 sec
  - ATO_CR 2021_78.json: 3.29 sec
  - ATO_CR 2021_79.json: 2.42 sec
  - ATO_CR 2021_8.json: 1.38 sec
  - ATO_CR 2021_81.json: 1.18 sec
  - ATO_CR 2021_87.json: 1.37 sec
  - ATO_CR 2021_9.json: 2.29 sec
  - ATO_CR 2021_93.json: 1.03 sec
  - ATO_CR 2021_97.json: 1.29 sec
  - ATO_CR 2021_98.json: 1.29 sec
  - ATO_CR 2021_99.json: 0.89 sec
  - ATO_CR 2022_1.json: 2.44 sec
  - ATO_CR 2022_10.json: 1.12 sec
  - ATO_CR 2022_102.json: 2.37 sec
  - ATO_CR 2022_104.json: 3.47 sec
  - ATO_CR 2022_105.json: 0.85 sec
  - ATO_CR 2022_106.json: 2.22 sec
  - ATO_CR 2022_107.json: 1.14 sec
  - ATO_CR 2022_108.json: 2.24 sec
  - ATO_CR 2022_109.json: 1.16 sec
  - ATO_CR 2022_11.json: 2.23 sec
  - ATO_CR 2022_110.json: 1.15 sec
  - ATO_CR 2022_111.json: 0.98 sec
  - ATO_CR 2022_112.json: 1.09 sec
  - ATO_CR 2022_14.json: 1.24 sec
  - ATO_CR 2022_15.json: 1.05 sec
  - ATO_CR 2022_16.json: 1.13 sec
  - ATO_CR 2022_18.json: 1.01 sec
  - ATO_CR 2022_19.json: 0.87 sec
  - ATO_CR 2022_2.json: 1.21 sec
  - ATO_CR 2022_20.json: 1.08 sec
  - ATO_CR 2022_21.json: 2.43 sec
  - ATO_CR 2022_22.json: 1.26 sec
  - ATO_CR 2022_24.json: 1.06 sec
  - ATO_CR 2022_25.json: 1.04 sec
  - ATO_CR 2022_29.json: 1.34 sec
  - ATO_CR 2022_3.json: 3.35 sec
  - ATO_CR 2022_30.json: 0.89 sec
  - ATO_CR 2022_31.json: 1.03 sec
  - ATO_CR 2022_33.json: 1.07 sec
  - ATO_CR 2022_34.json: 4.15 sec
  - ATO_CR 2022_36.json: 2.60 sec
  - ATO_CR 2022_37.json: 3.26 sec
  - ATO_CR 2022_38.json: 3.05 sec
  - ATO_CR 2022_4.json: 2.54 sec
  - ATO_CR 2022_40.json: 1.25 sec
  - ATO_CR 2022_41.json: 2.35 sec
  - ATO_CR 2022_42.json: 1.17 sec
  - ATO_CR 2022_43.json: 1.16 sec
  - ATO_CR 2022_44.json: 1.10 sec
  - ATO_CR 2022_48.json: 1.06 sec
  - ATO_CR 2022_49.json: 2.40 sec
  - ATO_CR 2022_50.json: 1.07 sec
  - ATO_CR 2022_51.json: 1.77 sec
  - ATO_CR 2022_53.json: 0.91 sec
  - ATO_CR 2022_55.json: 1.20 sec
  - ATO_CR 2022_56.json: 1.68 sec
  - ATO_CR 2022_57.json: 3.74 sec
  - ATO_CR 2022_58.json: 1.30 sec
  - ATO_CR 2022_59.json: 1.02 sec
  - ATO_CR 2022_6.json: 3.48 sec
  - ATO_CR 2022_61.json: 1.08 sec
  - ATO_CR 2022_63.json: 2.42 sec
  - ATO_CR 2022_65.json: 2.41 sec
  - ATO_CR 2022_66.json: 1.18 sec
  - ATO_CR 2022_68.json: 1.26 sec
  - ATO_CR 2022_69.json: 2.08 sec
  - ATO_CR 2022_7.json: 1.34 sec
  - ATO_CR 2022_70.json: 0.96 sec
  - ATO_CR 2022_71.json: 2.39 sec
  - ATO_CR 2022_74.json: 1.45 sec
  - ATO_CR 2022_75.json: 1.13 sec
  - ATO_CR 2022_76.json: 1.05 sec
  - ATO_CR 2022_77.json: 1.31 sec
  - ATO_CR 2022_78.json: 0.81 sec
  - ATO_CR 2022_79.json: 1.12 sec
  - ATO_CR 2022_8.json: 1.37 sec
  - ATO_CR 2022_80.json: 0.89 sec
  - ATO_CR 2022_83.json: 1.24 sec
  - ATO_CR 2022_84.json: 1.52 sec
  - ATO_CR 2022_85.json: 1.37 sec
  - ATO_CR 2022_86.json: 1.42 sec
  - ATO_CR 2022_87.json: 0.91 sec
  - ATO_CR 2022_88.json: 1.36 sec
  - ATO_CR 2022_89.json: 1.19 sec
  - ATO_CR 2022_9.json: 1.03 sec
  - ATO_CR 2022_90.json: 1.01 sec
  - ATO_CR 2022_91.json: 1.14 sec
  - ATO_CR 2022_94.json: 3.50 sec
  - ATO_CR 2022_97.json: 2.00 sec
  - ATO_CR 2022_99.json: 2.24 sec
  - ATO_CR 2023_1.json: 2.17 sec
  - ATO_CR 2023_12.json: 1.80 sec
  - ATO_CR 2023_13.json: 1.52 sec
  - ATO_CR 2023_16.json: 1.19 sec
  - ATO_CR 2023_21.json: 1.60 sec
  - ATO_CR 2023_27.json: 1.36 sec
  - ATO_CR 2023_30.json: 1.00 sec
  - ATO_CR 2023_33.json: 2.52 sec
  - ATO_CR 2023_35.json: 1.31 sec
  - ATO_CR 2023_37.json: 1.18 sec
  - ATO_CR 2023_4.json: 1.14 sec
  - ATO_CR 2023_41.json: 1.08 sec
  - ATO_CR 2023_44.json: 2.33 sec
  - ATO_CR 2023_46.json: 2.10 sec
  - ATO_CR 2023_47.json: 4.32 sec
  - ATO_CR 2023_51.json: 1.18 sec
  - ATO_CR 2023_52.json: 1.24 sec
  - ATO_CR 2023_53.json: 2.25 sec
  - ATO_CR 2023_58.json: 1.05 sec
  - ATO_CR 2023_61.json: 1.16 sec
  - ATO_CR 2023_62.json: 1.20 sec
  - ATO_CR 2023_64.json: 1.01 sec
  - ATO_CR 2023_65.json: 1.11 sec
  - ATO_CR 2023_68.json: 0.94 sec
  - ATO_CR 2023_7.json: 0.97 sec
  - ATO_CR 2023_71.json: 4.37 sec
  - ATO_CR 2023_8.json: 2.44 sec
  - ATO_CR 2023_9.json: 2.62 sec
  - ATO_CR 2024_10.json: 1.35 sec
  - ATO_CR 2024_11.json: 1.13 sec
  - ATO_CR 2024_15.json: 1.05 sec
  - ATO_CR 2024_17.json: 1.01 sec
  - ATO_CR 2024_18.json: 2.53 sec
  - ATO_CR 2024_20.json: 2.38 sec
  - ATO_CR 2024_23.json: 1.05 sec
  - ATO_CR 2024_25.json: 1.14 sec
  - ATO_CR 2024_30.json: 1.04 sec
  - ATO_CR 2024_31.json: 1.48 sec
  - ATO_CR 2024_32.json: 1.47 sec
  - ATO_CR 2024_33.json: 4.65 sec
  - ATO_CR 2024_34.json: 1.12 sec
  - ATO_CR 2024_35.json: 1.40 sec
  - ATO_CR 2024_36.json: 2.52 sec
  - ATO_CR 2024_37.json: 1.06 sec
  - ATO_CR 2024_4.json: 0.88 sec
  - ATO_CR 2024_40.json: 1.05 sec
  - ATO_CR 2024_43.json: 1.06 sec
  - ATO_CR 2024_44.json: 1.05 sec
  - ATO_CR 2024_45.json: 1.29 sec
  - ATO_CR 2024_46.json: 1.14 sec
  - ATO_CR 2024_47.json: 3.37 sec
  - ATO_CR 2024_48.json: 0.86 sec
  - ATO_CR 2024_49.json: 1.12 sec
  - ATO_CR 2024_5.json: 1.27 sec
  - ATO_CR 2024_50.json: 836.70 sec
  - ATO_CR 2024_55.json: 1.26 sec
  - ATO_CR 2024_56.json: 1.38 sec
  - ATO_CR 2024_57.json: 2.97 sec
  - ATO_CR 2024_58.json: 1.17 sec
  - ATO_CR 2024_6.json: 1.28 sec
  - ATO_CR 2024_60.json: 1.66 sec
  - ATO_CR 2024_61.json: 1.56 sec
  - ATO_CR 2024_63.json: 1.70 sec
  - ATO_CR 2024_65.json: 1.52 sec
  - ATO_CR 2024_66.json: 1.02 sec
  - ATO_CR 2024_67.json: 0.65 sec
  - ATO_CR 2024_69.json: 1.62 sec
  - ATO_CR 2024_7.json: 1.36 sec
  - ATO_CR 2024_70.json: 1.36 sec
  - ATO_CR 2024_75.json: 1.02 sec
  - ATO_CR 2024_8.json: 1.23 sec
  - ATO_GCGT.json: 23.39 sec
  - ATO_IT 2340.json: 1.05 sec
  - ATO_IT 2361.json: 1.35 sec
  - ATO_IT 2362.json: 0.82 sec
  - ATO_IT 2378.json: 1.15 sec
  - ATO_IT 2483 (Addendum exists).json: 0.88 sec
  - ATO_IT 2484 (Addendum exists).json: 1.11 sec
  - ATO_IT 2485.json: 0.95 sec
  - ATO_IT 2540.json: 1.33 sec
  - ATO_IT 2548.json: 0.84 sec
  - ATO_IT 2562.json: 1.33 sec
  - ATO_IT 2584.json: 1.00 sec
  - ATO_IT 2588.json: 0.93 sec
  - ATO_IT 2589.json: 0.94 sec
  - ATO_IT 2603.json: 1.28 sec
  - ATO_IT 2666.json: 1.03 sec
  - ATO_LCR 2015_11.json: 1.51 sec
  - ATO_MT 2012_2.json: 7.19 sec
  - ATO_PCG 2016_15.json: 0.94 sec
  - ATO_PCG 2018_2.json: 0.79 sec
  - ATO_PCG 2019_5.json: 1.11 sec
  - ATO_PCG 2021_1.json: 1.42 sec
  - ATO_PIG.json: 2.48 sec
  - ATO_PR 2021_10.json: 6.20 sec
  - ATO_PR 2021_7.json: 2.03 sec
  - ATO_PR 2021_8.json: 1.52 sec
  - ATO_PR 2023_2.json: 1.25 sec
  - ATO_TD 11.json: 1.04 sec
  - ATO_TD 14.json: 0.84 sec
  - ATO_TD 17.json: 1.03 sec
  - ATO_TD 18.json: 3.28 sec
  - ATO_TD 19.json: 1.00 sec
  - ATO_TD 1999_40.json: 0.92 sec
  - ATO_TD 1999_42.json: 0.80 sec
  - ATO_TD 1999_43.json: 1.26 sec
  - ATO_TD 1999_47.json: 1.02 sec
  - ATO_TD 1999_48.json: 1.04 sec
  - ATO_TD 1999_49.json: 0.82 sec
  - ATO_TD 1999_50.json: 0.81 sec
  - ATO_TD 1999_51.json: 0.77 sec
  - ATO_TD 1999_52.json: 0.94 sec
  - ATO_TD 1999_53.json: 0.84 sec
  - ATO_TD 1999_54.json: 0.96 sec
  - ATO_TD 1999_55.json: 0.84 sec
  - ATO_TD 1999_56.json: 1.11 sec
  - ATO_TD 1999_57.json: 0.96 sec
  - ATO_TD 1999_58.json: 0.81 sec
  - ATO_TD 1999_59.json: 1.10 sec
  - ATO_TD 1999_60.json: 1.10 sec
  - ATO_TD 1999_61.json: 1.99 sec
